Index,Area,Perimeter,Solidity,Compactness,Extent,Convex hull(convex area),Type_MAMRA,Type_REGULAR,Type_SANORA,L,W,D,Length A,Length B
2125,-0.08290312270329206,1.6156406020070857,-0.8143720287936833,2.6257100057179854,-0.2504192430461061,-0.01606466073430991,False,True,False,True,False,True,4.959363917965209,-3.7408668021130267
2126,-0.08424539860823224,1.6773954145364527,-0.894430031933075,2.7558336501624865,-0.12742521981997465,-0.010831944498153485,False,True,False,True,False,True,4.946469979220599,-3.8062944308113886
2127,-0.021920263346414955,0.9931931461669484,-1.153729009565755,1.32087168912748,-0.5228505316786396,0.0772813778945745,False,True,False,True,False,True,4.851208370060375,-3.3277975370859085
2128,0.043016868270961614,1.6936122128232938,-1.5821874494676242,2.4600668840807165,-0.8193060237196711,0.18607973292553157,False,True,False,True,False,True,4.967032756844485,-3.389584008051189
2129,-0.18926941873801167,0.5031824084727522,-0.34247518387378906,0.8016895463589441,0.20052045630010226,-0.16359916347319003,False,True,False,True,False,True,4.4577905046614,-3.479887131416132
2130,-0.15534974384290157,0.3612770793270855,-0.2735952935661922,0.5151547797175817,0.7949223762921894,-0.13399393000285537,False,True,False,True,False,True,4.279603881099925,-3.422544339932479
2131,-0.11537168851198035,0.6480634466855316,-0.571136478705551,0.9105665231195902,0.6463889123385499,-0.06965610352877101,False,True,False,True,False,True,4.322279549307746,-3.414943829282212
2132,-0.17682615832194454,0.6286156679328592,-0.38755691819844795,0.9901999068580203,0.5248168038194119,-0.14740935015192755,False,True,False,True,False,True,4.196772650542409,-3.43391295144717
2133,1.616998616585552,0.8414891502426625,0.5895436634385827,-0.49190331465888676,0.9290960850294532,1.5550144905455143,False,True,False,True,True,False,5.948591882393095,0.11279976179789822
2134,1.5772745053447548,1.107520390716454,0.5046992189742361,-0.2245289220676185,0.594796298055029,1.527656866733663,False,True,False,True,True,False,6.195272866343124,-0.08821384932910704
